"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Tonga","TON","Aquatic Animals; Others",47,NA,0,NA,0
"Tonga","TON","Demersal Fish",62,10,0,0,0
"Tonga","TON","Marine Fish; Other",41,943,0,0,0
"Tonga","TON","Moluscs; Other",4,4,0,0,0
"Tonga","TON","Pelagic Fish",358,741,0,0,0
"Trinidad and Tobago","TTO","Aquatic Animals; Others",2,7,0,0,0
"Trinidad and Tobago","TTO","Cephalopods",2,151,0,0,0
"Trinidad and Tobago","TTO","Crustaceans",39,998,0,0,0
"Trinidad and Tobago","TTO","Demersal Fish",987,3013,0,0,0
"Trinidad and Tobago","TTO","Freshwater Fish",277,1875,0,0,0
"Trinidad and Tobago","TTO","Marine Fish; Other",1506,2377,0,0,0
"Trinidad and Tobago","TTO","Pelagic Fish",1654,5794,0,0,0
"Tunisia","TUN","Aquatic Animals; Others",44,NA,0,NA,0
"Tunisia","TUN","Cephalopods",6030,808,0,0,0
"Tunisia","TUN","Crustaceans",4069,126,0,0,0
"Tunisia","TUN","Demersal Fish",2220,756,0,0,0
"Tunisia","TUN","Freshwater Fish",139,864,0,0,0
"Tunisia","TUN","Marine Fish; Other",1467,3713,0,0,0
"Tunisia","TUN","Moluscs; Other",813,582,0,0,0
"Tunisia","TUN","Pelagic Fish",6077,26417,0,0,0
"Turkey","TUR","Aquatic Animals; Others",1664,177,0,0,0
"Turkey","TUR","Cephalopods",945,3956,0,0,0
"Turkey","TUR","Crustaceans",1540,1242,0,0,0
"Turkey","TUR","Demersal Fish",79780,9139,0,0,0
"Turkey","TUR","Freshwater Fish",38975,9419,0,0,0
"Turkey","TUR","Marine Fish; Other",41147,41992,0,0,0
"Turkey","TUR","Moluscs; Other",4163,683,0,0,0
"Turkey","TUR","Pelagic Fish",15034,205474,0,0,0
"Turks and Caicos Is.","TCA","Aquatic Animals; Others",9,NA,0,NA,0
