"iso3c","nutrient","production_sector","nut_supply","consump"
"BGD","Iron","Subsistence",1940523790.58207,814816.115768681
"BGD","Vitamin A","Artisanal",79016282259.0037,2203951.86190306
"BGD","Vitamin A","Import",649235749,24091.2998
"BGD","Vitamin A","Industrial",2051101809.27071,60312.692313047
"BGD","Vitamin A","Subsistence",26873521884.8375,814816.115768681
"BGD","Vitamin B12","Artisanal",7745044835.24572,2203951.86190306
"BGD","Vitamin B12","Import",89684380.8833333,24091.2998
"BGD","Vitamin B12","Industrial",209038194.657632,60312.692313047
"BGD","Vitamin B12","Subsistence",6332447765.90097,814816.115768681
"BGD","Zinc","Artisanal",3824737456.38005,2203951.86190306
"BGD","Zinc","Import",24215101.4666667,24091.2998
"BGD","Zinc","Industrial",103881138.387707,60312.692313047
"BGD","Zinc","Subsistence",1619471341.6277,814816.115768681
"BGR","Calcium","Import",9375859166,185070.8318
"BGR","Calcium","Recreational",35781611.2458096,369.466626744
"BGR","Calcium","Subsistence",11940521.7094352,123.2930581968
"BGR","DHA+EPA","Import",166264456.11642,185070.8318
"BGR","DHA+EPA","Recreational",467972.587227664,369.466626744
"BGR","DHA+EPA","Subsistence",156165.042403016,123.2930581968
"BGR","Iron","Import",326954813.913333,185070.8318
"BGR","Iron","Recreational",930193.81063072,369.466626744
"BGR","Iron","Subsistence",310410.82285664,123.2930581968
"BGR","Vitamin A","Import",4266866049,185070.8318
"BGR","Vitamin A","Recreational",13303877.451076,369.466626744
"BGR","Vitamin A","Subsistence",4439577.537376,123.2930581968
"BGR","Vitamin B12","Import",707824379.883333,185070.8318
"BGR","Vitamin B12","Recreational",804205.690852,369.466626744
"BGR","Vitamin B12","Subsistence",268367.89001744,123.2930581968
"BGR","Zinc","Import",299544602.666667,185070.8318
"BGR","Zinc","Recreational",731397.11956805,369.466626744
"BGR","Zinc","Subsistence",244071.266788304,123.2930581968
"BHR","Calcium","aquaculture",885339.84137791,25.611408955048
"BHR","Calcium","Artisanal",9903477881.75263,52727.7640835814
"BHR","Calcium","Import",1644030756,33817.9218
"BHR","Calcium","Industrial",2234018911.99029,12561.9603062646
"BHR","Calcium","Recreational",114003800,2160.072
"BHR","Calcium","Subsistence",27175881.258608,48.3033438136
"BHR","DHA+EPA","aquaculture",27062.7221291674,25.611408955048
"BHR","DHA+EPA","Artisanal",38638452.9025085,52727.7640835814
"BHR","DHA+EPA","Import",30329956.57922,33817.9218
"BHR","DHA+EPA","Industrial",14876025.6359362,12561.9603062646
"BHR","DHA+EPA","Recreational",1418447.28,2160.072
"BHR","DHA+EPA","Subsistence",163109.681317073,48.3033438136
"BHR","Iron","aquaculture",874202.758998972,25.611408955048
"BHR","Iron","Artisanal",218371357.930497,52727.7640835814
"BHR","Iron","Import",49774712.12,33817.9218
"BHR","Iron","Industrial",24394189.3303346,12561.9603062646
"BHR","Iron","Recreational",3022900.76,2160.072
"BHR","Iron","Subsistence",99126.86208704,48.3033438136
"BHR","Vitamin A","aquaculture",725656.587059694,25.611408955048
"BHR","Vitamin A","Artisanal",1336843452.92255,52727.7640835814
"BHR","Vitamin A","Import",898681054,33817.9218
"BHR","Vitamin A","Industrial",454487369.643303,12561.9603062646
"BHR","Vitamin A","Recreational",100203340,2160.072
"BHR","Vitamin A","Subsistence",1239085.776088,48.3033438136
"BHR","Vitamin B12","aquaculture",85371.3631834934,25.611408955048
"BHR","Vitamin B12","Artisanal",250534914.351456,52727.7640835814
"BHR","Vitamin B12","Import",164946964.75,33817.9218
"BHR","Vitamin B12","Industrial",58986860.6985555,12561.9603062646
"BHR","Vitamin B12","Recreational",6120204,2160.072
"BHR","Vitamin B12","Subsistence",200143.85501896,48.3033438136
"BHR","Zinc","aquaculture",6131.21608317816,25.611408955048
"BHR","Zinc","Artisanal",68802886.4721494,52727.7640835814
"BHR","Zinc","Import",36622998.25,33817.9218
"BHR","Zinc","Industrial",12792975.7028262,12561.9603062646
"BHR","Zinc","Recreational",2160072,2160.072
"BHR","Zinc","Subsistence",87366.04794112,48.3033438136
"BHS","Calcium","aquaculture",43560.5216315958,0.588655697724268
"BHS","Calcium","Artisanal",7730226321.37063,14413.0638676576
"BHS","Calcium","Import",1193290110,22299.078
"BHS","Calcium","Industrial",194092485.448827,1600.95266899909
"BHS","Calcium","Recreational",4457227828.23109,27722.1093843752
"BHS","Calcium","Subsistence",654610748.880942,2718.6539577424
"BHS","DHA+EPA","aquaculture",51.8017013997356,0.588655697724268
"BHS","DHA+EPA","Artisanal",1906993.90266154,14413.0638676576
"BHS","DHA+EPA","Import",22591447.888,22299.078
"BHS","DHA+EPA","Industrial",268693.593048676,1600.95266899909
"BHS","DHA+EPA","Recreational",29342546.9579748,27722.1093843752
"BHS","DHA+EPA","Subsistence",286708.721955955,2718.6539577424
"BHS","Iron","aquaculture",117.731139544854,0.588655697724268
"BHS","Iron","Artisanal",38028727.3514498,14413.0638676576
"BHS","Iron","Import",29289596.98,22299.078
"BHS","Iron","Industrial",6433137.11580849,1600.95266899909
"BHS","Iron","Recreational",47867707.2324998,27722.1093843752
"BHS","Iron","Subsistence",2940688.37111077,2718.6539577424
"BHS","Vitamin A","Artisanal",198749616.920206,14413.0638676576
"BHS","Vitamin A","Import",580007185,22299.078
"BHS","Vitamin A","Industrial",24460090.071067,1600.95266899909
"BHS","Vitamin A","Recreational",1180195894.98402,27722.1093843752
"BHS","Vitamin A","Subsistence",12569523.9753389,2718.6539577424
"BHS","Vitamin B12","aquaculture",353.193418634561,0.588655697724268
"BHS","Vitamin B12","Artisanal",319254971.205005,14413.0638676576
"BHS","Vitamin B12","Import",88291800.8,22299.078
"BHS","Vitamin B12","Industrial",30155557.310461,1600.95266899909
"BHS","Vitamin B12","Recreational",171231792.458704,27722.1093843752
"BHS","Vitamin B12","Subsistence",23416199.1586061,2718.6539577424
"BHS","Zinc","aquaculture",2119.16051180736,0.588655697724268
"BHS","Zinc","Artisanal",92716484.1161923,14413.0638676576
"BHS","Zinc","Import",31146821.85,22299.078
"BHS","Zinc","Industrial",9270068.42064203,1600.95266899909
"BHS","Zinc","Recreational",42148661.6281906,27722.1093843752
"BHS","Zinc","Subsistence",12696838.4481349,2718.6539577424
